Total_Spending,Total_Purchase_Num,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Total_Household_Size,Campaign_Response_Rate,Response,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,Cluster
714,20,0.1,77622.0,54,4,1,0,4,0.0,0,0,133,3,3,0
1529,32,0.0625,77766.0,57,4,1,0,3,0.2,1,0,146,97,6,1
17,3,0.3333333333333333,15759.0,68,2,1,0,2,0.0,0,0,140,12,7,3
15,3,0.3333333333333333,22775.0,46,2,1,0,3,0.0,0,0,143,40,8,3
586,17,0.2352941176470588,50725.0,71,2,1,0,3,0.0,0,0,147,45,8,1
137,7,0.1428571428571428,20180.0,48,2,0,1,1,0.0,0,0,146,27,7,3
117,6,0.5,34213.0,61,2,0,1,3,0.0,1,0,152,2,9,3
2302,18,0.0,94384.0,71,2,1,0,2,0.6,1,0,146,62,2,4
106,6,0.3333333333333333,16185.0,34,0,0,1,2,0.0,0,0,141,71,8,3
64,4,0.5,27203.0,74,2,1,0,4,0.0,0,0,153,92,8,2
219,9,0.3333333333333333,48186.0,50,2,1,0,3,0.0,0,0,133,39,7,2
14,3,0.3333333333333333,26868.0,33,0,0,1,2,0.0,0,0,132,52,7,3
964,23,0.1739130434782608,74881.0,63,3,1,0,4,0.0,0,0,146,48,5,1
279,11,0.6363636363636364,30168.0,46,2,0,1,2,0.0,0,0,146,51,9,3
38,6,0.5,17003.0,49,1,1,0,3,0.0,0,0,137,37,5,3
43,5,0.4,10404.0,35,1,1,0,3,0.0,0,0,132,52,5,3
103,6,0.3333333333333333,38136.0,46,2,1,0,3,0.2,0,0,144,69,8,3
78,6,0.1666666666666666,33039.0,46,2,1,0,3,0.0,0,0,140,4,5,3
1180,24,0.2916666666666667,60474.0,45,2,0,1,2,0.0,0,0,145,25,7,1
147,7,0.1428571428571428,45203.0,42,2,1,0,4,0.0,1,0,133,4,6,2
68,5,0.4,35797.0,49,2,1,0,3,0.0,0,0,151,16,8,3
296,10,0.5,56721.0,52,2,1,0,4,0.0,0,0,150,64,6,2
405,13,0.3076923076923077,55267.0,67,2,1,0,3,0.0,0,0,138,28,3,2
120,7,0.2857142857142857,33183.0,49,2,1,0,3,0.0,0,0,134,46,7,3
18,3,0.3333333333333333,17487.0,35,0,1,0,3,0.0,0,0,146,37,7,3
32,4,0.25,40049.0,72,2,0,1,2,0.0,0,0,139,23,6,3
43,4,0.5,51124.0,69,3,0,1,3,0.0,0,0,136,79,3,2
125,6,0.1666666666666666,42523.0,60,2,1,0,2,0.0,0,0,132,96,2,0
680,17,0.0588235294117647,48789.0,32,2,0,1,1,0.0,0,0,152,94,6,1
507,16,0.0625,65486.0,67,2,0,1,2,0.0,0,0,132,29,2,0
486,15,0.2,57705.0,58,4,1,0,3,0.0,0,0,136,14,6,2
193,8,0.375,24570.0,40,2,1,0,3,0.0,0,0,146,97,9,3
546,17,0.0588235294117647,64100.0,60,3,1,0,3,0.2,0,0,140,93,7,1
371,13,0.3076923076923077,48904.0,64,2,0,1,2,0.0,0,0,149,1,8,3
279,11,0.1818181818181818,52117.0,59,2,1,0,3,0.0,0,0,153,55,7,1
43,4,0.25,23830.0,37,1,0,1,1,0.0,0,0,135,3,7,3
1365,27,0.037037037037037,83257.0,29,1,0,1,1,0.4,1,1,152,56,6,4
1574,13,0.0769230769230769,64260.0,63,2,1,0,2,0.0,1,0,148,1,3,1
431,14,0.1428571428571428,70829.0,44,1,1,0,4,0.0,0,0,137,87,3,0
174,8,0.625,41713.0,60,1,0,1,3,0.0,0,0,132,57,6,2
79,6,0.3333333333333333,23616.0,42,1,0,1,2,0.0,1,0,150,76,8,3
112,6,0.3333333333333333,33249.0,49,2,0,1,2,0.0,0,0,146,11,6,3
91,6,0.3333333333333333,21474.0,35,2,0,1,2,0.2,1,0,133,0,7,3
302,11,0.5454545454545454,46610.0,72,4,0,1,3,0.0,1,0,150,8,6,2
1313,19,0.0526315789473684,85696.0,62,4,0,1,1,0.0,1,0,144,88,1,0
634,18,0.0555555555555555,62159.0,78,4,0,1,1,0.0,0,0,132,68,4,0
48,5,0.4,37401.0,51,4,1,0,3,0.0,0,0,132,14,7,2
2047,20,0.05,74918.0,55,2,1,0,2,0.2,0,0,146,78,3,4
46,4,0.25,44155.0,67,4,1,0,4,0.0,0,0,135,24,4,2
595,16,0.4375,42835.0,53,3,0,1,3,0.0,0,0,142,64,6,2
33,4,0.25,36975.0,46,1,0,1,2,0.0,0,0,136,50,7,3
636,18,0.1666666666666666,62187.0,55,4,0,1,2,0.0,0,0,133,38,4,0
279,11,0.0909090909090909,64413.0,54,4,1,0,3,0.0,0,0,141,27,5,2
30,3,0.3333333333333333,20491.0,38,1,1,0,2,0.0,0,0,147,16,7,3
138,7,0.4285714285714285,56551.0,74,4,0,1,3,0.0,0,0,132,48,4,2
990,14,0.1428571428571428,52614.0,49,4,0,1,2,0.0,0,0,149,63,8,1
55,5,0.4,34554.0,65,4,0,1,2,0.0,0,0,133,43,6,2
40,5,0.4,23228.0,55,2,1,0,3,0.0,0,0,135,71,8,3
745,19,0.0526315789473684,64813.0,46,2,1,0,3,0.0,0,0,136,81,5,0
946,22,0.0454545454545454,62772.0,55,3,0,1,2,0.2,0,0,144,74,2,0
823,20,0.1,64474.0,52,2,1,0,3,0.0,0,0,138,59,5,0
770,21,0.0952380952380952,66313.0,61,4,1,0,3,0.0,0,0,140,86,4,0
570,16,0.1875,22507.0,70,2,0,1,1,0.0,0,0,149,67,9,1
38,6,0.6666666666666666,16014.0,45,0,0,1,3,0.0,0,0,146,42,3,3
213,8,0.5,21888.0,38,3,0,1,2,0.0,1,0,148,15,10,3
55,5,0.4,39453.0,41,2,1,0,3,0.0,0,0,133,64,6,3
191,9,0.3333333333333333,28769.0,47,2,0,1,2,0.0,0,0,149,76,9,3
1366,29,0.0344827586206896,68487.0,36,2,1,0,2,0.0,0,0,148,48,4,1
485,15,0.1333333333333333,39767.0,73,3,1,0,2,0.0,0,0,141,18,8,1
57,5,0.6,26518.0,75,4,0,1,3,0.0,1,0,145,33,8,2
2283,22,0.0454545454545454,82657.0,78,2,1,0,2,0.4,0,0,139,71,4,4
32,5,0.4,28839.0,68,3,1,0,4,0.0,0,0,134,86,5,2
404,14,0.2142857142857142,54456.0,63,4,1,0,3,0.0,0,0,142,23,6,2
103,6,0.1666666666666666,34053.0,56,3,1,0,3,0.0,0,0,152,14,8,2
71,5,0.2,33996.0,35,4,0,1,1,0.0,0,0,140,46,4,3
29,4,0.25,24594.0,45,0,1,0,3,0.0,0,0,137,94,5,3
1388,29,0.1379310344827586,61456.0,49,2,1,0,3,0.0,0,0,145,47,4,1
608,16,0.125,61286.0,58,2,1,0,3,0.0,0,0,141,34,5,1
1443,20,0.1,71952.0,38,2,1,0,3,0.4,0,0,148,93,4,4
55,6,0.5,32889.0,56,3,1,0,4,0.0,0,0,140,78,5,2
63,6,0.3333333333333333,29543.0,56,3,1,0,4,0.0,0,0,133,47,7,2
1482,22,0.0454545454545454,62981.0,57,4,1,0,2,0.2,0,0,146,21,3,1
1174,27,0.1851851851851851,67445.0,50,2,1,0,3,0.0,0,0,153,63,6,1
915,13,0.3076923076923077,53858.0,48,2,1,0,3,0.0,0,0,150,50,4,1
467,13,0.2307692307692307,24401.0,45,3,1,0,2,0.0,0,0,152,98,8,3
1482,21,0.0476190476190476,80995.0,66,4,0,1,2,0.0,0,0,144,83,4,1
22,3,0.3333333333333333,21994.0,67,2,1,0,3,0.0,0,0,148,4,5,2
506,14,0.5,41124.0,47,2,1,0,3,0.0,0,0,150,41,8,3
101,6,0.5,25509.0,50,4,0,1,2,0.0,1,0,152,15,9,3
1161,17,0.1176470588235294,70091.0,55,3,1,0,3,0.2,0,0,145,11,8,1
44,5,0.6,30372.0,53,2,0,1,3,0.0,0,0,148,33,7,3
293,11,0.5454545454545454,48721.0,61,3,0,1,3,0.0,0,0,144,50,6,2
1822,17,0.0588235294117647,82333.0,38,4,1,0,2,0.2,1,0,145,60,2,4
1674,21,0.0476190476190476,83003.0,59,2,1,0,2,0.2,1,0,146,18,3,4
102,7,0.4285714285714285,24480.0,43,0,1,0,3,0.0,0,0,147,46,7,3
1062,25,0.04,85710.0,35,1,1,0,2,0.2,0,0,144,5,2,4
69,6,0.5,16653.0,45,3,0,1,2,0.0,1,0,132,10,6,3
67,5,0.2,23910.0,55,2,0,1,2,0.0,0,0,150,80,7,3
1812,15,0.0666666666666666,78579.0,54,3,0,1,1,0.0,1,0,148,35,3,1
66,6,0.3333333333333333,35523.0,43,1,1,0,3,0.0,0,0,139,8,7,3
52,4,0.25,27161.0,38,3,1,0,3,0.0,0,0,138,41,7,3
103,7,0.5714285714285714,9722.0,51,0,1,0,3,0.0,1,0,151,7,8,3
444,15,0.4666666666666667,64014.0,78,4,1,0,5,0.2,0,0,131,56,7,2
1507,19,0.0526315789473684,78939.0,73,4,1,0,2,0.0,0,0,137,57,3,0
318,12,0.4166666666666667,34600.0,53,2,1,0,4,0.0,1,0,148,8,8,2
60,4,0.25,18690.0,65,2,1,0,2,0.0,0,0,148,77,8,3
731,20,0.1,58482.0,69,4,1,0,3,0.2,0,0,134,59,6,0
1472,11,0.2727272727272727,89694.0,51,2,0,1,3,0.6,0,0,139,22,5,4
55,5,0.2,24221.0,65,2,1,0,2,0.0,0,0,140,94,4,3
35,5,0.4,27071.0,56,3,0,1,2,0.0,0,0,132,90,6,3
359,25,0.0,4428.0,55,2,1,0,3,0.0,0,0,139,0,1,0
1638,21,0.0476190476190476,79529.0,38,2,1,0,2,0.0,0,0,132,1,2,0
1588,16,0.0625,90369.0,68,2,1,0,2,0.0,1,0,132,2,1,0
38,4,0.25,29732.0,53,4,1,0,3,0.0,0,0,133,23,9,2
1956,22,0.0909090909090909,85606.0,48,2,1,0,3,0.2,0,0,150,89,3,4
1072,24,0.125,59184.0,63,1,0,1,2,0.0,0,0,152,6,5,1
130,7,0.1428571428571428,55249.0,68,3,1,0,3,0.0,0,0,132,81,3,0
63,5,0.2,50870.0,72,4,1,0,3,0.0,0,0,130,13,5,2
1147,16,0.25,61014.0,44,2,1,0,3,0.0,0,0,153,17,7,1
401,13,0.4615384615384615,50200.0,48,2,1,0,4,0.0,0,0,145,70,8,2
1415,22,0.0454545454545454,80763.0,74,2,1,0,2,0.4,1,0,141,17,3,4
324,11,0.2727272727272727,27421.0,70,2,0,1,1,0.0,0,0,149,14,7,3
596,17,0.1764705882352941,58398.0,71,2,1,0,2,0.0,0,0,144,44,4,1
507,16,0.0625,60482.0,48,3,0,1,2,0.0,0,0,147,81,7,1
1616,14,0.2142857142857142,93404.0,70,2,1,0,5,0.4,0,0,144,97,5,4
467,13,0.0769230769230769,46610.0,66,2,1,0,2,0.0,0,0,142,4,6,1
42,4,0.25,30081.0,63,2,0,1,2,0.0,0,0,146,27,7,3
48,5,0.4,21359.0,52,2,0,1,2,0.0,1,0,145,1,8,3
400,14,0.5,53367.0,50,3,0,1,3,0.0,1,0,140,2,7,2
1226,27,0.037037037037037,86424.0,68,3,0,1,1,0.0,0,0,133,12,1,0
557,22,0.0454545454545454,86836.0,49,4,1,0,2,0.6,1,0,152,7,5,4
734,20,0.3,59821.0,69,4,1,0,3,0.0,0,0,145,11,8,1
1198,25,0.24,52278.0,61,4,0,1,2,0.0,0,0,147,24,8,1
221,10,0.7,34968.0,44,2,1,0,3,0.0,0,0,145,11,7,3
312,12,0.5833333333333334,66480.0,59,2,1,0,4,0.0,0,0,131,71,4,2
33,5,0.4,22010.0,41,2,1,0,3,0.0,0,0,142,51,8,3
149,8,0.625,40233.0,49,4,1,0,3,0.0,0,0,139,84,6,2
23,3,0.3333333333333333,34824.0,29,2,0,1,1,0.0,0,0,133,65,6,3
44,6,0.5,24639.0,51,2,1,0,4,0.0,0,0,135,3,6,2
981,20,0.05,72635.0,69,1,1,0,2,0.2,0,0,143,54,3,0
43,5,0.2,18351.0,34,2,1,0,2,0.0,0,0,138,1,7,3
2153,21,0.0476190476190476,78618.0,67,2,1,0,2,0.2,0,0,151,87,2,4
1242,18,0.0555555555555555,75865.0,81,4,1,0,2,0.0,0,0,133,73,1,0
819,20,0.15,62807.0,64,2,1,0,3,0.0,0,0,152,83,5,1
1455,20,0.05,69520.0,41,2,1,0,2,0.0,0,0,142,95,5,1
107,6,0.1666666666666666,27038.0,58,2,0,1,1,0.0,1,0,152,64,9,3
86,6,0.5,24762.0,52,2,0,1,2,0.2,1,0,135,16,8,3
330,12,0.1666666666666666,46734.0,70,2,1,0,3,0.0,0,0,150,40,7,2
414,14,0.4285714285714285,47320.0,67,2,1,0,3,0.0,0,0,141,10,6,2
89,7,0.5714285714285714,34176.0,36,2,0,1,2,0.0,0,0,132,12,6,3
22,4,0.25,32173.0,66,4,0,1,2,0.0,0,0,141,0,4,2
776,20,0.05,71613.0,59,2,1,0,2,0.0,0,0,140,26,4,0
49,4,0.25,33178.0,47,2,1,0,3,0.0,0,0,135,9,4,3
20,5,0.4,29791.0,52,4,1,0,3,0.0,0,0,132,21,5,2
99,6,0.1666666666666666,50737.0,69,2,1,0,3,0.2,0,0,144,61,6,2
936,22,0.1363636363636363,52845.0,51,2,1,0,3,0.2,0,0,141,7,6,1
908,21,0.0476190476190476,63841.0,56,3,0,1,2,0.0,0,0,144,64,6,1
209,9,0.1111111111111111,51012.0,78,4,1,0,2,0.0,0,0,145,86,6,1
175,8,0.5,34380.0,47,2,1,0,3,0.0,0,0,144,68,8,3
2059,23,0.0434782608695652,89572.0,58,1,0,1,1,0.4,1,0,152,44,4,4
70,6,0.1666666666666666,30631.0,50,2,1,0,3,0.0,0,0,142,75,7,3
44,6,0.6666666666666666,18701.0,60,2,0,1,3,0.0,0,0,143,95,5,2
369,11,0.4545454545454545,44989.0,50,2,1,0,3,0.0,0,0,152,26,6,2
1099,26,0.1538461538461538,64108.0,71,4,0,1,2,0.0,0,0,145,8,5,1
46,4,0.25,45889.0,44,1,0,1,2,0.0,0,0,142,42,6,3
1566,23,0.0434782608695652,84117.0,68,4,1,0,2,0.2,0,0,132,60,2,0
36,5,0.4,13624.0,48,2,1,0,3,0.0,0,0,148,93,6,3
1082,24,0.625,67309.0,57,1,1,0,4,0.0,0,0,147,76,7,2
859,20,0.65,50898.0,68,3,1,0,4,0.0,0,0,148,88,5,2
639,18,0.2222222222222222,60689.0,73,2,0,1,2,0.0,0,0,143,23,3,0
275,11,0.5454545454545454,43776.0,72,3,1,0,4,0.0,1,0,147,9,8,2
1688,15,0.0666666666666666,84865.0,63,4,0,1,1,0.8,1,0,144,1,4,4
85,5,0.2,18929.0,34,2,1,0,2,0.0,0,0,147,15,6,3
268,11,0.3636363636363636,38201.0,64,4,1,0,3,0.0,0,0,145,19,8,2
65,6,0.5,14849.0,48,4,0,1,2,0.0,0,0,142,39,8,3
892,12,0.0833333333333333,74268.0,69,2,1,0,2,0.0,0,0,147,83,2,0
1045,24,0.0833333333333333,65492.0,65,2,1,0,2,0.0,0,0,135,73,2,0
14,3,0.3333333333333333,18100.0,78,2,1,0,2,0.0,0,0,141,14,5,2
568,17,0.0588235294117647,69263.0,59,2,0,1,2,0.2,0,0,134,14,6,0
95,6,0.1666666666666666,39858.0,55,3,0,1,2,0.0,1,0,147,67,6,3
20,4,0.25,29478.0,48,2,1,0,3,0.0,0,0,135,59,6,3
244,10,0.3,42731.0,55,4,1,0,3,0.0,0,0,138,64,5,2
1533,30,0.1333333333333333,69016.0,54,2,1,0,3,0.0,0,0,149,61,5,1
899,22,0.0454545454545454,76624.0,62,2,0,1,2,0.2,0,0,131,68,1,0
16,3,0.3333333333333333,41452.0,71,2,1,0,4,0.0,0,0,146,86,7,2
1919,19,0.0526315789473684,84169.0,42,4,1,0,2,0.4,1,0,141,9,3,4
729,16,0.0625,82017.0,67,4,1,0,2,0.6,1,0,150,58,2,4
362,13,0.3846153846153846,46149.0,49,2,1,0,3,0.0,0,0,137,36,5,2
31,4,0.5,31353.0,47,2,1,0,4,0.0,0,0,136,24,8,2
1033,23,0.0434782608695652,66835.0,78,3,1,0,2,0.0,0,0,139,21,2,0
1612,13,0.0769230769230769,62847.0,79,3,1,0,2,0.0,0,0,148,45,2,1
22,4,0.25,16529.0,40,2,1,0,3,0.0,0,0,134,23,6,3
535,16,0.1875,69142.0,72,2,0,1,2,0.2,0,0,130,50,5,0
393,13,0.0769230769230769,56181.0,62,2,1,0,3,0.0,0,0,148,6,4,1
263,10,0.6,57113.0,46,2,1,0,4,0.0,0,0,147,45,7,2
36,4,0.5,33456.0,59,2,1,0,4,0.0,0,0,132,58,7,2
1930,20,0.15,78427.0,76,3,0,1,1,0.2,1,0,150,36,3,4
930,22,0.0454545454545454,75278.0,72,2,1,0,2,0.0,0,0,147,17,3,1
889,21,0.238095238095238,62466.0,54,1,1,0,3,0.0,0,0,136,13,4,0
960,13,0.0769230769230769,70886.0,53,2,1,0,3,0.0,0,0,139,65,2,0
54,5,0.2,33462.0,45,3,0,1,2,0.0,0,0,141,78,7,3
1159,16,0.125,75484.0,48,1,1,0,3,0.0,0,0,153,50,4,1
114,6,0.1666666666666666,38823.0,75,2,1,0,3,0.0,0,0,152,56,6,2
69,6,0.3333333333333333,22212.0,49,1,1,0,3,0.0,0,0,137,49,6,3
268,10,0.2,26877.0,55,3,0,1,1,0.0,0,0,140,74,6,3
792,21,0.0952380952380952,58086.0,55,4,0,1,2,0.0,0,0,148,80,8,1
417,12,0.1666666666666666,51039.0,55,4,1,0,4,0.0,0,0,149,11,7,2
42,4,0.25,23763.0,47,2,0,1,2,0.0,0,0,153,64,7,3
211,9,0.7777777777777778,35688.0,51,1,1,0,5,0.0,0,0,153,94,8,2
319,12,0.3333333333333333,47352.0,73,3,1,0,3,0.0,0,0,145,70,7,2
1229,26,0.0769230769230769,49118.0,53,1,0,1,1,0.4,1,0,153,90,7,4
1443,20,0.1,71952.0,38,2,1,0,3,0.4,0,0,148,93,4,4
55,5,0.2,32952.0,47,2,0,1,2,0.0,0,0,137,36,7,3
354,11,0.2727272727272727,36864.0,67,2,0,1,2,0.0,1,0,153,53,8,3
183,9,0.1111111111111111,45579.0,76,4,1,0,3,0.0,0,0,140,10,6,2
1150,26,0.1153846153846153,63693.0,46,2,0,1,2,0.0,0,0,139,63,6,1
836,25,0.04,89891.0,33,2,1,0,2,0.2,0,0,145,17,4,4
317,11,0.1818181818181818,37760.0,78,2,1,0,2,0.0,0,0,152,20,7,1
823,20,0.05,75774.0,43,1,1,0,3,0.0,0,0,132,27,4,0
384,13,0.5384615384615384,39552.0,62,2,0,1,3,0.0,1,0,149,54,8,2
13,3,0.3333333333333333,22280.0,49,2,1,0,3,0.0,0,0,144,85,8,3
46,4,0.25,23272.0,71,2,0,1,1,0.0,0,0,139,29,4,3
611,18,0.1111111111111111,61794.0,63,3,1,0,3,0.0,0,0,140,74,2,0
1029,13,0.3076923076923077,66731.0,54,2,0,1,2,0.0,0,0,152,33,3,1
40,4,0.5,37758.0,58,2,1,0,4,0.0,0,0,151,49,8,2
75,5,0.2,48985.0,56,1,1,0,3,0.0,0,0,142,13,3,3
296,10,0.2,32233.0,50,2,0,1,2,0.2,1,0,153,26,9,3
460,14,0.3571428571428571,37292.0,41,2,1,0,3,0.0,0,0,145,32,8,3
264,11,0.7272727272727273,44377.0,56,4,1,0,4,0.0,0,0,151,70,8,2
874,22,0.1818181818181818,49912.0,75,3,1,0,3,0.2,1,0,152,5,8,1
879,22,0.1818181818181818,52852.0,67,2,1,0,3,0.2,0,0,149,93,8,1
45,5,0.2,20895.0,51,2,1,0,3,0.0,0,0,151,24,9,3
2114,21,0.0476190476190476,86857.0,52,4,0,1,1,0.0,1,0,152,96,2,1
1918,18,0.0555555555555555,80695.0,61,2,0,1,1,0.0,0,0,136,85,2,0
1685,14,0.0714285714285714,90933.0,70,4,0,1,1,0.2,0,0,133,90,1,0
407,14,0.1428571428571428,47958.0,72,2,0,1,2,0.0,0,0,148,8,5,1
61,5,0.4,36026.0,52,2,1,0,5,0.0,0,0,134,34,6,2
45,4,0.5,30801.0,49,0,1,0,3,0.0,0,0,150,23,7,3
809,21,0.0,96547.0,44,1,1,0,2,0.6,1,0,131,4,2,4
656,18,0.6111111111111112,60208.0,51,2,0,1,3,0.2,1,0,151,13,7,2
119,6,0.1666666666666666,36075.0,41,2,1,0,3,0.0,0,0,137,54,6,3
1334,19,0.0526315789473684,70638.0,69,3,0,1,1,0.2,0,0,143,69,3,4
77,6,0.5,52190.0,48,4,1,0,4,0.2,0,0,132,39,5,2
68,7,0.5714285714285714,17148.0,48,2,1,0,3,0.0,0,0,135,80,8,3
55,4,0.25,41728.0,56,2,1,0,3,0.0,0,0,143,92,10,3
973,24,0.125,65106.0,49,2,1,0,3,0.2,0,0,131,55,6,0
1478,21,0.0476190476190476,79946.0,58,2,0,1,1,0.0,0,0,132,19,3,0
377,13,0.3846153846153846,46998.0,68,2,0,1,2,0.2,0,0,151,55,7,1
1820,16,0.0625,68126.0,33,4,0,1,1,0.2,1,0,150,40,9,1
1103,24,0.0416666666666666,63285.0,79,2,0,1,1,0.0,0,0,138,84,3,0
92,6,0.5,46423.0,52,3,0,1,3,0.0,0,0,139,6,7,2
