ID,Total_Spending,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase_Num,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Total_Household_Size,Total_Children,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Campaign_Response_Rate,Response,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,Cluster
9360,316,86,2,73,69,38,48,11,4,2,5,0.0909090909090909,37040.0,42,2,1,0,2,0,0,0,0,0,0,0.0,0,0,153,41,8,3
5376,1730,1,1,1725,1,1,1,28,0,28,0,0.5357142857142857,2447.0,45,2,1,0,3,1,0,0,0,0,0,0.0,0,0,148,42,1,1
1993,972,867,0,86,0,0,19,14,2,3,9,0.2142857142857142,58607.0,75,4,1,0,3,1,0,0,0,1,0,0.2,0,0,148,63,8,1
4047,544,384,0,102,21,32,5,17,6,2,9,0.1764705882352941,65324.0,70,4,1,0,3,1,0,0,0,0,0,0.0,0,0,136,0,4,0
1409,444,270,3,27,39,6,99,13,7,1,5,0.5384615384615384,40689.0,73,2,1,0,3,1,0,0,0,0,0,0.0,0,0,146,69,8,2
7892,75,6,4,25,15,12,13,6,2,1,3,0.3333333333333333,18589.0,55,2,0,1,1,0,0,0,0,0,0,0.0,0,0,148,89,7,3
2404,257,173,4,30,3,6,41,10,5,1,4,0.4,53359.0,48,2,1,0,4,2,0,0,0,0,0,0.0,0,0,143,4,7,2
9422,131,36,2,42,20,21,10,7,2,1,4,0.2857142857142857,38360.0,35,2,1,0,3,1,0,0,0,0,0,0.0,0,0,143,26,3,3
1966,1672,684,100,801,21,66,0,25,6,9,10,0.04,84618.0,59,4,1,0,2,0,0,0,0,0,1,0.2,0,0,137,96,2,4
6864,30,8,4,10,2,2,4,6,3,0,3,0.3333333333333333,10979.0,35,3,0,1,1,0,0,0,0,0,0,0.0,0,0,131,34,5,3
3033,318,112,17,44,34,22,89,10,2,5,3,0.1,38620.0,61,3,1,0,2,0,0,0,0,0,0,0.0,0,0,144,56,3,0
5710,120,110,0,5,2,0,3,7,2,1,4,0.2857142857142857,40548.0,54,2,1,0,3,1,0,0,0,1,0,0.2,0,0,151,31,5,3
7373,302,96,12,96,33,22,43,11,4,1,6,0.5454545454545454,46610.0,72,4,0,1,3,2,0,0,0,0,0,0.0,1,0,150,8,6,2
8755,1196,482,34,471,119,68,22,17,3,5,9,0.0588235294117647,68657.0,78,3,1,0,2,0,0,0,0,0,0,0.0,0,0,146,4,7,1
10738,65,40,0,19,2,1,3,5,2,0,3,0.2,49389.0,73,3,0,1,3,2,0,0,0,0,0,0.0,0,0,140,55,7,2
4339,913,702,17,151,0,8,35,23,5,6,12,0.217391304347826,67353.0,54,4,1,0,3,1,0,0,0,0,0,0.0,0,0,136,37,2,0
10755,81,6,3,14,15,7,36,6,3,1,2,0.5,23718.0,48,1,1,0,3,1,0,0,0,0,0,0.0,0,0,140,76,7,3
8595,67,55,0,6,2,0,4,5,1,1,3,0.4,42429.0,51,2,0,1,2,1,0,0,0,0,0,0.0,0,0,135,99,5,3
2968,902,437,8,206,160,49,42,22,7,10,5,0.0909090909090909,48948.0,81,4,0,1,1,0,0,0,1,0,0,0.2,1,0,147,53,6,1
8601,1395,421,76,536,82,178,102,19,8,6,5,0.1052631578947368,80011.0,44,2,1,0,3,1,0,0,0,0,0,0.0,0,0,144,3,4,1
503,53,13,1,29,3,0,7,5,2,0,3,0.4,20559.0,39,3,1,0,3,1,0,0,0,0,0,0.0,0,0,146,88,8,3
8430,22,9,0,6,3,1,3,3,0,0,3,0.3333333333333333,21994.0,67,2,1,0,3,1,0,0,0,0,0,0.0,0,0,148,4,5,2
2139,31,3,1,10,3,2,12,5,2,0,3,0.6,7500.0,49,3,1,0,3,1,0,0,0,0,0,0.0,0,0,139,19,5,2
1371,984,123,164,266,227,30,174,15,2,4,9,0.0666666666666666,79941.0,48,2,0,1,1,0,0,0,0,0,0,0.0,0,0,130,72,1,0
9909,122,3,18,14,15,22,50,7,3,1,3,0.4285714285714285,7500.0,28,1,1,0,2,0,0,0,0,0,0,0.0,1,0,150,24,9,3
7286,55,13,6,15,3,5,13,4,2,0,2,0.25,41728.0,56,2,1,0,3,1,0,0,0,0,0,0.0,0,0,143,92,10,3
6566,1319,826,50,317,50,38,38,19,5,2,12,0.4736842105263157,72550.0,70,4,1,0,4,2,0,0,0,0,0,0.0,0,0,150,39,8,1
8614,507,245,19,125,37,67,14,16,4,2,10,0.0625,65486.0,67,2,0,1,2,1,0,0,0,0,0,0.0,0,0,132,29,2,0
4114,1693,650,37,780,27,167,32,28,6,9,13,0.0357142857142857,79143.0,60,3,1,0,2,0,0,0,0,0,0,0.0,0,0,153,2,3,1
1331,72,12,6,20,30,1,3,5,2,0,3,0.4,35790.0,47,2,0,1,2,1,0,0,0,0,0,0.0,0,0,148,54,7,3
2225,1617,510,120,550,156,40,241,20,4,9,7,0.05,82582.0,47,2,0,1,1,0,1,0,1,0,0,0.4,1,0,131,54,1,4
9381,606,328,9,124,12,24,109,16,4,2,10,0.4375,66373.0,46,2,1,0,4,2,0,0,0,0,0,0.0,0,0,143,57,3,2
6260,1957,984,51,432,180,120,190,26,3,10,13,0.0384615384615384,82384.0,69,3,1,0,2,0,0,0,0,0,1,0.2,1,0,150,55,1,4
10383,1093,295,35,482,121,120,40,20,5,5,10,0.05,70287.0,58,2,0,1,1,0,0,0,0,0,0,0.0,1,0,145,30,3,0
7437,29,13,0,8,2,1,5,5,1,0,4,0.2,27938.0,36,2,0,1,2,1,0,0,0,0,0,0.0,0,0,132,31,3,3
8375,518,447,0,28,0,0,43,16,8,2,6,0.1875,55954.0,56,4,1,0,3,1,0,0,0,0,0,0.0,0,0,134,63,7,2
6853,1438,712,26,538,69,13,80,20,3,6,11,0.05,75777.0,42,3,0,1,1,0,0,0,0,1,1,0.4,1,0,142,12,1,4
3076,612,452,18,102,16,18,6,18,4,2,12,0.2222222222222222,66653.0,49,2,1,0,4,2,0,0,0,0,0,0.0,0,0,152,18,3,1
1012,884,523,7,134,37,14,169,20,8,2,10,0.2,61823.0,72,2,0,1,2,1,0,0,0,0,0,0.0,0,0,147,26,7,1
6518,606,546,0,48,0,6,6,18,7,3,8,0.0555555555555555,67680.0,73,4,0,1,2,1,0,0,0,0,0,0.0,0,0,143,8,5,1
4137,1076,398,40,367,119,122,30,15,7,4,4,0.0666666666666666,70666.0,76,2,1,0,2,0,0,0,0,0,0,0.0,0,0,137,29,4,0
8082,34,1,3,6,3,6,15,4,1,1,2,0.25,25721.0,53,2,1,0,3,1,0,0,0,0,0,0.0,1,0,143,75,7,3
1386,11,10,0,1,0,0,0,3,1,0,2,0.3333333333333333,32474.0,57,2,1,0,4,2,0,0,0,0,0,0.0,0,0,132,0,7,2
9369,1274,688,14,309,201,24,38,31,11,10,10,0.032258064516129,88194.0,45,1,0,1,2,1,1,0,1,0,0,0.4,1,0,133,19,5,4
4477,653,247,49,159,7,82,109,17,5,2,10,0.0588235294117647,69096.0,66,2,1,0,3,1,0,0,0,0,0,0.0,0,0,139,4,4,0
1357,1562,856,59,487,58,29,73,12,2,5,5,0.5833333333333334,74854.0,54,2,1,0,5,3,0,0,0,0,0,0.0,0,0,145,90,5,2
1402,1253,496,36,460,189,60,12,18,4,8,6,0.1666666666666666,66991.0,70,3,1,0,2,0,0,0,0,0,0,0.0,0,0,152,1,3,1
6312,863,258,107,291,84,37,86,26,10,3,13,0.1538461538461538,65031.0,65,2,1,0,3,1,0,0,0,0,0,0.0,0,0,146,29,7,1
8132,661,565,6,65,0,6,19,19,9,2,8,0.2631578947368421,60631.0,49,4,1,0,4,2,0,0,0,1,0,0.2,0,0,145,88,7,2
1050,65,14,10,13,4,15,9,7,2,1,4,0.1428571428571428,28332.0,72,2,1,0,2,0,0,0,0,0,0,0.0,0,0,132,58,2,0
5846,13,2,1,6,2,1,1,3,1,0,2,0.3333333333333333,40246.0,47,2,0,1,2,1,0,0,0,0,0,0.0,0,0,149,68,6,3
1859,1890,721,111,925,97,18,18,18,7,6,5,0.0555555555555555,75251.0,52,3,1,0,2,0,0,0,0,0,0,0.0,1,0,152,34,5,1
7503,2209,1032,105,779,137,105,51,22,5,8,9,0.0,75825.0,48,2,0,1,1,0,0,0,1,0,0,0.2,1,0,151,40,4,4
10401,18,1,0,5,0,3,9,3,0,0,3,0.3333333333333333,26326.0,48,1,1,0,2,0,0,0,0,0,0,0.0,0,1,140,12,3,3
1618,692,577,0,64,0,0,51,19,10,1,8,0.1052631578947368,56046.0,59,2,1,0,2,0,0,0,1,0,0,0.2,1,0,148,9,8,1
3332,165,64,4,68,7,5,17,8,3,1,4,0.5,29760.0,39,2,0,1,2,1,0,0,0,0,0,0.0,0,0,152,87,8,3
2261,16,4,1,5,2,0,4,3,1,0,2,0.3333333333333333,26304.0,55,2,1,0,3,1,0,0,0,0,0,0.0,0,0,142,5,7,3
5346,79,25,5,19,7,0,23,6,3,0,3,0.5,23559.0,51,1,1,0,3,1,0,0,0,0,0,0.0,0,0,142,87,7,3
4119,318,112,17,44,34,22,89,10,2,5,3,0.1,38620.0,61,3,1,0,2,0,0,0,0,0,0,0.0,0,0,144,56,3,0
535,778,163,23,424,27,65,76,26,3,10,13,0.0384615384615384,81361.0,37,2,0,1,1,0,0,0,0,0,0,0.0,0,0,134,18,1,0
5268,56,17,8,14,10,4,3,5,1,0,4,0.4,29440.0,64,2,1,0,4,2,0,0,0,0,0,0.0,0,0,141,95,7,2
273,151,130,0,16,0,0,5,8,3,1,4,0.625,36138.0,54,3,1,0,4,2,0,0,0,1,0,0.2,0,0,142,48,7,2
4452,372,292,6,37,0,3,34,13,6,1,6,0.3076923076923077,50388.0,67,2,0,1,2,1,1,0,0,1,0,0.4,1,0,131,3,7,2
8504,1366,350,60,568,110,133,145,18,5,6,7,0.0555555555555555,79593.0,51,2,1,0,2,0,0,0,0,0,1,0.2,0,0,132,70,2,0
771,194,135,9,39,4,0,7,9,2,2,5,0.1111111111111111,54178.0,57,2,1,0,3,1,0,0,0,0,0,0.0,0,0,135,79,2,0
11178,32,15,2,10,0,1,4,4,1,0,3,0.25,42394.0,52,3,0,1,2,1,0,0,0,0,0,0.0,0,0,133,69,7,3
2230,43,27,2,14,0,0,0,7,3,1,3,0.4285714285714285,23626.0,54,4,1,0,3,1,0,0,0,0,0,0.0,0,0,131,84,5,2
7516,45,5,3,11,12,5,9,5,2,0,3,0.2,30096.0,41,2,1,0,3,1,0,0,0,0,0,0.0,0,0,131,30,6,3
7247,606,505,0,26,0,0,75,17,7,4,6,0.2941176470588235,47916.0,64,2,0,1,2,1,0,0,0,1,0,0.2,0,0,149,72,6,1
11100,63,51,2,7,0,1,2,5,2,0,3,0.4,51813.0,52,2,0,1,3,2,0,0,0,0,0,0.0,0,0,145,37,7,3
4646,978,207,26,447,75,0,223,24,5,7,12,0.0416666666666666,78497.0,73,1,1,0,2,0,1,0,0,0,0,0.2,0,0,137,44,2,0
3037,410,135,46,92,65,61,11,14,5,2,7,0.1428571428571428,50150.0,41,4,1,0,2,0,0,0,0,0,0,0.0,0,0,142,32,5,1
1473,72,53,1,5,2,1,10,5,2,0,3,0.4,47823.0,64,1,0,1,2,1,0,0,0,0,0,0.0,0,0,141,0,8,3
1016,55,41,1,6,2,0,5,5,2,0,3,0.4,34554.0,65,4,0,1,2,1,0,0,0,0,0,0.0,0,0,133,43,6,2
4518,1169,386,172,183,185,132,111,25,9,5,11,0.08,85693.0,45,2,1,0,3,1,0,0,0,0,0,0.0,0,0,145,59,5,1
9370,1120,562,81,276,80,40,81,15,6,3,6,0.0666666666666666,65846.0,79,4,1,0,2,0,0,0,0,0,0,0.0,0,0,144,68,4,1
8908,1097,217,76,690,50,26,38,19,3,11,5,0.0526315789473684,87195.0,65,2,1,0,2,0,0,0,0,0,0,0.0,1,0,132,35,1,0
8373,29,1,3,6,10,0,9,4,1,0,3,0.25,24594.0,45,0,1,0,3,1,0,0,0,0,0,0.0,0,0,137,94,5,3
7533,187,144,1,32,2,1,7,9,4,1,4,0.4444444444444444,49096.0,60,2,1,0,4,2,0,0,0,0,0,0.0,0,0,139,15,7,2
2683,910,295,106,271,75,98,65,22,6,4,12,0.1818181818181818,52413.0,55,2,1,0,4,2,0,0,0,0,0,0.0,0,0,147,56,6,1
3629,145,76,3,31,4,4,27,7,3,1,3,0.2857142857142857,38557.0,46,2,0,1,2,1,0,0,0,0,0,0.0,0,0,149,17,7,3
10991,850,454,194,106,31,22,43,13,5,4,4,0.0769230769230769,89058.0,64,3,1,0,2,0,0,0,0,0,0,0.0,0,0,149,18,2,1
5077,969,425,115,292,23,35,79,23,6,6,11,0.0434782608695652,77298.0,45,2,1,0,3,1,0,0,0,0,0,0.0,0,0,138,46,3,0
7431,1820,1332,17,311,23,51,86,16,7,4,5,0.0625,68126.0,33,4,0,1,1,0,0,0,0,1,0,0.2,1,0,150,40,9,1
3267,608,527,0,21,0,0,60,17,8,1,8,0.1764705882352941,57288.0,61,3,1,0,3,1,0,0,0,1,0,0.2,0,0,130,27,6,0
999,730,490,44,125,29,20,22,24,6,7,11,0.0416666666666666,86037.0,33,2,0,1,1,0,0,0,0,1,1,0.4,1,0,148,95,3,4
9215,551,378,0,101,0,0,72,16,6,4,6,0.3125,43974.0,44,4,1,0,3,1,0,0,0,0,0,0.0,0,0,149,19,7,2
2286,114,64,1,21,0,1,27,6,2,1,3,0.3333333333333333,50785.0,62,2,0,1,3,2,0,0,0,0,0,0.0,0,0,140,27,6,2
1592,1724,547,99,812,151,82,33,15,4,6,5,0.0,90765.0,54,2,1,0,2,0,1,0,0,0,1,0.4,0,0,135,25,1,4
367,577,47,90,94,123,103,120,15,9,1,5,0.3333333333333333,36550.0,46,1,1,0,3,1,0,0,0,0,0,0.0,0,0,147,74,9,3
5234,81,12,5,25,0,9,30,5,1,1,3,0.4,30753.0,57,1,1,0,4,2,0,0,0,0,0,0.0,0,0,142,85,5,2
9862,33,1,6,7,11,5,3,5,2,0,3,0.4,21918.0,55,2,1,0,3,1,0,0,0,0,0,0.0,0,0,138,37,6,3
9805,660,320,48,133,39,72,48,18,6,2,10,0.2222222222222222,56129.0,71,3,1,0,3,1,0,0,0,0,0,0.0,0,0,142,65,4,1
6205,80,34,3,29,0,4,10,6,2,1,3,0.5,32557.0,57,3,0,1,2,1,0,0,0,0,0,0.0,1,0,134,13,5,2
8442,30,9,0,7,3,4,7,4,1,0,3,0.5,19510.0,39,3,1,0,4,2,0,0,0,0,0,0.0,0,0,140,63,7,2
7386,43,17,0,14,7,3,2,4,1,0,3,0.25,30992.0,48,2,0,1,2,1,0,0,0,0,0,0.0,0,0,144,83,7,3
7215,1135,722,27,102,44,72,168,27,6,8,13,0.0,101970.0,41,2,0,1,1,0,1,0,0,1,1,0.6,1,0,146,69,2,4
1491,559,162,33,124,40,28,172,14,3,4,7,0.1428571428571428,71488.0,59,1,1,0,2,0,0,0,0,0,0,0.0,0,0,147,87,1,0
11071,1923,450,133,951,173,0,216,15,3,6,6,0.0666666666666666,79607.0,40,2,0,1,1,0,0,0,0,0,0,0.0,1,0,144,37,1,0
3381,90,70,0,16,0,0,4,6,2,0,4,0.3333333333333333,54348.0,71,3,1,0,4,2,0,0,0,0,0,0.0,0,0,131,51,6,2
11051,661,492,19,110,16,12,12,19,6,3,10,0.2105263157894736,77376.0,68,4,1,0,4,2,0,0,0,0,0,0.0,0,0,132,72,4,0
8026,463,120,58,73,65,89,58,14,5,4,5,0.3571428571428571,62998.0,72,2,1,0,3,1,0,0,0,0,0,0.0,0,0,139,10,5,2
433,632,534,5,47,0,5,41,18,11,1,6,0.2777777777777778,61331.0,66,3,0,1,3,2,0,0,0,0,0,0.0,0,0,146,42,8,1
9597,725,236,106,189,23,41,130,18,7,2,9,0.0555555555555555,73448.0,55,2,1,0,2,0,0,0,0,0,0,0.0,0,0,135,10,4,0
5290,279,220,0,33,3,0,23,11,5,1,5,0.4545454545454545,41551.0,60,4,1,0,4,2,0,0,0,0,0,0.0,0,0,141,51,8,2
1685,1482,796,14,590,38,44,0,22,4,5,13,0.0454545454545454,62981.0,57,4,1,0,2,0,0,0,0,1,0,0.2,0,0,146,21,3,1
5342,29,0,1,3,10,6,9,4,1,0,3,0.5,9548.0,48,0,0,1,2,1,0,0,0,0,0,0.0,0,0,153,31,8,3
9579,106,53,1,34,2,0,16,6,2,2,2,0.5,33762.0,65,4,1,0,5,3,0,0,0,0,0,0.0,0,0,142,61,8,2
7660,49,15,0,8,4,2,20,4,1,1,2,0.5,35860.0,51,4,0,1,3,2,0,0,1,0,0,0.2,1,0,131,37,5,2
1461,38,17,1,12,3,1,4,5,2,0,3,0.4,36921.0,59,4,0,1,3,2,0,0,0,0,0,0.0,0,0,141,74,7,2
821,2077,962,61,921,52,61,20,21,5,4,12,0.0476190476190476,92859.0,32,3,0,1,1,0,0,0,0,0,0,0.0,0,0,151,46,2,1
11084,1053,738,0,232,13,20,50,15,3,5,7,0.1333333333333333,65104.0,48,3,1,0,3,1,0,0,0,0,0,0.0,1,0,138,4,7,1
8690,1385,399,28,756,36,40,126,22,5,7,10,0.0454545454545454,86111.0,62,2,1,0,2,0,0,0,0,0,0,0.0,0,0,145,73,2,0
2937,871,614,16,132,43,33,33,22,8,5,9,0.1363636363636363,68352.0,50,4,0,1,2,1,0,0,0,0,0,0.0,0,0,140,47,6,1
9701,312,32,34,41,73,16,116,9,4,2,3,0.3333333333333333,41883.0,36,2,1,0,3,1,0,0,0,0,0,0.0,0,0,146,13,7,3
9949,877,598,16,141,32,41,49,12,3,3,6,0.25,59809.0,48,2,1,0,4,2,0,0,0,0,0,0.0,0,0,151,36,8,2
10837,68,2,1,18,20,11,16,5,2,0,3,0.2,23957.0,49,2,1,0,3,1,0,0,0,0,0,0.0,1,0,150,47,6,3
3120,22,6,1,10,0,1,4,3,1,0,2,0.3333333333333333,38547.0,43,2,1,0,3,1,0,0,0,0,0,0.0,0,1,140,49,8,3
5885,211,73,3,90,12,1,32,9,4,1,4,0.7777777777777778,35688.0,51,1,1,0,5,3,0,0,0,0,0,0.0,0,0,153,94,8,2
4050,127,42,16,29,12,20,8,7,2,1,4,0.1428571428571428,49605.0,58,3,1,0,2,0,0,0,0,0,0,0.0,0,0,130,65,3,0
3830,459,295,21,78,39,13,13,15,4,4,7,0.0666666666666666,59354.0,71,3,1,0,4,2,0,0,0,0,0,0.0,0,0,132,59,3,0
7987,460,346,17,48,23,13,13,15,8,1,6,0.2666666666666666,65747.0,55,2,1,0,3,1,0,0,0,1,0,0.2,0,0,134,96,6,2
7798,429,233,20,57,8,20,91,13,7,1,5,0.3076923076923077,46344.0,52,1,1,0,3,1,0,0,0,0,0,0.0,0,0,149,28,7,3
92,89,5,7,24,19,14,20,7,3,0,4,0.5714285714285714,34176.0,36,2,0,1,2,1,0,0,0,0,0,0.0,0,0,132,12,6,3
7055,1021,888,0,57,0,0,76,24,8,5,11,0.0833333333333333,61010.0,72,4,1,0,3,1,0,0,0,0,0,0.0,0,0,151,57,5,1
10240,1381,997,26,269,34,13,42,20,10,4,6,0.05,69372.0,75,2,1,0,2,0,0,0,0,1,1,0.4,1,0,147,10,4,4
3025,306,212,6,69,4,12,3,12,6,1,5,0.25,49967.0,66,2,0,1,2,1,0,0,0,0,0,0.0,0,0,142,4,7,3
9283,18,8,1,7,2,0,0,3,0,0,3,0.3333333333333333,60199.0,46,2,0,1,4,3,0,0,0,0,0,0.0,0,0,140,49,4,2
9970,162,42,11,57,10,28,14,8,1,1,6,0.125,55375.0,47,2,1,0,3,1,0,0,0,0,0,0.0,0,0,139,3,2,0
2730,1231,536,11,387,149,91,57,17,3,4,10,0.0588235294117647,80317.0,69,2,0,1,1,0,0,0,0,0,0,0.0,0,0,140,64,1,0
2795,13,5,0,3,0,0,5,3,1,0,2,0.3333333333333333,30523.0,66,3,0,1,4,3,0,0,0,0,0,0.0,0,0,142,0,7,2
9260,1706,1349,16,249,43,16,33,25,10,6,9,0.08,70356.0,79,4,1,0,2,0,0,0,0,0,0,0.0,0,0,150,20,6,1
8182,121,53,3,49,7,4,5,7,3,0,4,0.5714285714285714,23228.0,40,2,1,0,3,1,0,0,0,0,0,0.0,0,0,136,91,8,3
10095,1293,1001,12,240,16,12,12,19,5,4,10,0.0526315789473684,74165.0,49,4,0,1,1,0,0,0,0,0,0,0.0,0,0,144,9,2,0
8475,1608,20,2,1582,1,2,1,22,0,22,0,0.6818181818181818,157243.0,51,4,1,0,3,1,0,0,0,0,0,0.0,0,0,134,98,0,0
4370,88,18,1,32,6,3,28,6,2,0,4,0.5,43482.0,58,2,1,0,5,3,0,0,0,0,0,0.0,0,0,138,83,6,2
10573,421,125,16,98,134,21,27,17,6,7,4,0.0588235294117647,62551.0,71,2,0,1,1,0,0,0,1,0,0,0.2,0,0,137,27,3,0
3712,259,212,5,33,7,0,2,11,3,2,6,0.0909090909090909,52332.0,65,2,0,1,1,0,0,0,0,1,0,0.2,0,0,140,63,4,0
6637,1117,277,162,305,173,76,124,14,3,4,7,0.0714285714285714,66951.0,36,2,0,1,1,0,0,0,0,0,0,0.0,0,0,138,46,1,0
3152,89,15,10,19,8,17,20,6,2,1,3,0.5,26091.0,67,2,1,0,4,2,0,0,0,0,0,0.0,0,0,134,84,5,2
5610,36,7,3,10,8,1,7,4,1,0,3,0.5,33456.0,59,2,1,0,4,2,0,0,0,0,0,0.0,0,0,132,58,7,2
6460,57,12,4,6,11,8,16,5,2,0,3,0.4,28718.0,42,2,1,0,3,1,0,0,0,0,0,0.0,0,0,142,78,8,3
1349,148,85,7,24,2,3,27,7,3,1,3,0.1428571428571428,50447.0,54,2,1,0,4,2,0,0,0,0,0,0.0,0,0,132,4,6,2
1880,93,81,0,6,0,0,6,6,2,1,3,0.3333333333333333,53537.0,65,4,1,0,4,2,0,0,0,0,0,0.0,0,0,135,17,5,2
641,119,59,0,12,0,0,48,6,2,2,2,0.1666666666666666,52074.0,57,2,0,1,2,1,0,0,1,0,0,0.2,0,0,133,77,4,0
8717,1835,1149,71,449,69,71,26,27,11,8,8,0.037037037037037,80427.0,49,4,1,0,3,1,0,0,0,0,0,0.0,0,0,152,56,5,1
10314,1318,847,66,119,86,89,111,24,9,10,5,0.0416666666666666,83837.0,76,4,1,0,2,0,1,0,0,1,0,0.4,1,0,149,79,4,4
10854,45,29,0,14,0,0,2,5,2,0,3,0.4,38853.0,54,4,1,0,4,2,0,0,0,0,0,0.0,0,0,131,90,7,2
10492,10,2,0,5,2,0,1,3,0,0,3,0.3333333333333333,38285.0,65,2,1,0,5,3,0,0,0,0,0,0.0,0,0,130,96,2,2
6935,978,207,26,447,75,0,223,24,5,7,12,0.0416666666666666,78497.0,73,1,1,0,2,0,1,0,0,0,0,0.2,0,0,137,44,2,0
7698,191,152,3,22,2,5,7,9,4,1,4,0.1111111111111111,51650.0,48,4,1,0,3,1,0,0,0,0,0,0.0,0,0,132,81,5,2
3559,57,12,11,10,3,12,9,6,2,1,3,0.5,16248.0,36,1,1,0,3,1,0,0,0,0,0,0.0,0,0,132,77,6,3
10562,1033,620,26,195,34,17,141,23,6,4,13,0.0434782608695652,66835.0,78,3,1,0,2,0,0,0,0,0,0,0.0,0,0,139,21,2,0
10796,66,47,1,6,0,0,12,5,1,1,3,0.2,30477.0,40,3,1,0,3,1,0,0,0,0,0,0.0,0,0,135,16,6,3
2563,43,1,9,7,2,14,10,5,2,0,3,0.2,28249.0,63,0,1,0,2,0,0,0,0,0,0,0.0,0,0,130,80,6,3
3518,50,10,1,18,10,4,7,4,1,1,2,0.25,25271.0,41,2,1,0,3,1,0,0,0,0,0,0.0,0,0,149,45,9,3
5823,39,35,0,2,0,0,2,5,1,0,4,0.4,32303.0,54,4,0,1,2,1,0,0,0,0,0,0.0,0,0,134,63,5,2
3934,608,356,0,107,19,9,117,16,7,1,8,0.125,61286.0,58,2,1,0,3,1,0,0,0,0,0,0.0,0,0,141,34,5,1
6982,1581,783,30,537,140,76,15,23,4,10,9,0.0434782608695652,74068.0,48,2,1,0,2,0,0,0,0,0,0,0.0,0,0,146,14,2,1
6431,68,42,1,18,3,0,4,5,2,0,3,0.4,45759.0,60,4,1,0,4,2,0,0,0,0,0,0.0,0,0,146,13,7,2
9733,80,1,4,10,29,0,36,4,1,1,2,0.25,24882.0,46,0,1,0,3,1,0,0,1,0,0,0.2,0,0,152,52,6,3
