Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Marital_Status_Grouped,Marital_Merged_Couples,Marital_Merged_Single_Household,Marital_Merged_Unknown,Age,Total_Children,Total_Household_Size,Total_Spending,Loyalty_Months,Campaign_Response_Rate,Shopping_Frequency
2,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,Couples,1,0,0,56,1,3,55,143,0.0,5
4,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,70,2,4,1319,150,0.0,28
2,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,67,1,2,507,132,0.0,17
3,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,60,0,2,1693,153,0.0,29
2,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,47,1,2,72,148,0.0,7
2,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,Single_Household,0,1,0,47,0,1,1617,131,0.4,21
2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,46,2,4,606,143,0.0,23
3,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,Couples,1,0,0,69,0,2,1957,149,0.2,27
2,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,Single_Household,0,1,0,58,0,1,1093,145,0.0,21
2,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,36,1,2,29,132,0.0,6
4,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,56,1,3,518,134,0.0,19
3,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,Single_Household,0,1,0,42,0,1,1438,142,0.4,21
2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,49,2,4,612,152,0.0,22
2,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,72,1,2,884,146,0.0,24
4,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,73,1,2,606,143,0.0,19
2,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,76,0,2,1076,137,0.0,16
2,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,Couples,1,0,0,53,1,3,34,143,0.0,5
2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,57,2,4,11,132,0.0,4
0,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,Single_Household,0,1,0,45,1,2,1274,133,0.4,32
2,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,66,1,3,653,139,0.0,18
2,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,54,3,5,1562,145,0.0,19
3,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,70,0,2,1253,152,0.0,21
2,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,65,1,3,863,146,0.0,30
4,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,Couples,1,0,0,49,2,4,661,145,0.2,24
2,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,72,0,2,65,132,0.0,8
2,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,47,1,2,13,148,0.0,4
3,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,Couples,1,0,0,52,0,2,1890,152,0.0,19
2,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,Single_Household,0,1,0,48,0,1,2209,151,0.2,22
0,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,Couples,1,0,0,48,0,2,18,140,0.0,4
2,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,Couples,1,0,0,59,0,2,692,148,0.2,21
2,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,39,1,2,165,152,0.0,12
2,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,55,1,3,16,142,0.0,4
0,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,51,1,3,79,142,0.0,9
3,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,61,0,2,318,144,0.0,11
2,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,37,0,1,778,134,0.0,27
2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,64,2,4,56,141,0.0,7
3,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,Couples,1,0,0,54,2,4,151,142,0.2,13
2,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,Single_Household,0,1,0,67,1,2,372,131,0.4,17
2,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,Couples,1,0,0,51,0,2,1366,132,0.2,19
2,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,57,1,3,194,135,0.0,10
3,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,52,1,2,32,133,0.0,5
4,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,54,1,3,43,131,0.0,10
2,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,41,1,3,45,131,0.0,6
2,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,Single_Household,0,1,0,64,1,2,606,149,0.2,22
2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,52,2,3,63,145,0.0,7
0,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,Couples,1,0,0,73,0,2,978,137,0.2,25
4,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,41,0,2,410,142,0.0,16
0,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,64,1,2,72,141,0.0,7
4,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,65,1,2,55,133,0.0,7
2,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,45,1,3,1169,144,0.0,27
4,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,79,0,2,1120,144,0.0,16
2,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,Couples,1,0,0,65,0,2,1097,132,0.0,20
1,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,45,1,3,29,137,0.0,5
2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,60,2,4,187,139,0.0,13
2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,55,2,4,910,147,0.0,26
2,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,46,1,2,145,148,0.0,9
3,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,64,0,2,850,149,0.0,14
2,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,45,1,3,969,138,0.0,24
4,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,Single_Household,0,1,0,33,0,1,1820,150,0.2,17
3,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,Couples,1,0,0,61,1,3,608,130,0.2,20
2,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,Single_Household,0,1,0,33,0,1,730,148,0.4,25
4,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,44,1,3,551,149,0.0,21
2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,62,2,3,114,140,0.0,8
2,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,Couples,1,0,0,54,0,2,1724,135,0.4,15
0,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,Couples,1,0,0,46,1,3,577,146,0.0,20
0,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,57,2,4,81,142,0.0,7
2,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,55,1,3,33,137,0.0,7
3,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,71,1,3,660,142,0.0,22
3,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,Single_Household,0,1,0,57,1,2,80,134,0.0,9
3,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,39,2,4,30,140,0.0,6
2,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,48,1,2,43,144,0.0,5
0,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,Couples,1,0,0,59,0,2,559,146,0.0,16
2,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,Single_Household,0,1,0,40,0,1,1923,144,0.0,16
3,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,71,2,4,90,131,0.0,8
4,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,68,2,4,661,132,0.0,23
2,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,72,1,3,463,139,0.0,19
3,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,66,2,3,632,146,0.0,23
2,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,Couples,1,0,0,55,0,2,725,135,0.0,19
4,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,60,2,4,279,141,0.0,16
4,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,Couples,1,0,0,57,0,2,1482,146,0.2,23
1,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,48,1,2,29,153,0.0,6
4,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,65,3,5,106,142,0.0,9
4,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,Single_Household,0,1,0,51,2,3,49,131,0.2,6
4,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,59,2,3,38,141,0.0,7
3,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,32,0,1,2077,151,0.0,22
3,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,Couples,1,0,0,48,1,3,1053,137,0.0,17
2,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,62,0,2,1385,144,0.0,23
4,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,50,1,2,871,140,0.0,25
2,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,36,1,3,312,145,0.0,12
2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,2,4,877,151,0.0,15
2,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,Couples,1,0,0,49,1,3,68,150,0.0,6
2,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,Couples,1,0,0,43,1,3,22,140,0.0,4
0,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,51,3,5,211,152,0.0,16
3,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,58,0,2,127,130,0.0,8
3,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,Couples,1,0,0,71,2,4,459,132,0.0,16
2,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,Couples,1,0,0,55,1,3,460,134,0.2,19
0,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,52,1,3,429,149,0.0,17
2,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,36,1,2,89,132,0.0,11
4,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,72,1,3,1021,151,0.0,26
2,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,Couples,1,0,0,75,0,2,1381,146,0.4,21
2,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,66,1,2,306,142,0.0,15
2,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,46,3,4,18,140,0.0,4
2,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,47,1,3,162,138,0.0,9
2,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,69,0,1,1231,140,0.0,18
3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,66,3,4,13,142,0.0,4
4,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,79,0,2,1706,150,0.0,27
2,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,40,1,3,121,136,0.0,11
4,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,49,0,1,1293,144,0.0,20
2,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,58,3,5,88,138,0.0,9
2,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,Single_Household,0,1,0,71,0,1,421,137,0.2,18
2,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,Single_Household,0,1,0,65,0,1,259,140,0.2,12
2,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,36,0,1,1117,138,0.0,15
2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,67,2,4,89,134,0.0,9
2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,59,2,4,36,132,0.0,6
2,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,Couples,1,0,0,42,1,3,57,142,0.0,7
2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,54,2,4,148,132,0.0,8
4,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,65,2,4,93,135,0.0,8
2,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,Single_Household,0,1,0,57,1,2,119,133,0.2,7
4,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,49,1,3,1835,152,0.0,28
4,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,Couples,1,0,0,76,0,2,1318,149,0.4,25
4,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,Couples,1,0,0,54,2,4,45,131,0.0,7
2,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,65,3,5,10,130,0.0,4
0,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,Couples,1,0,0,73,0,2,978,137,0.2,25
4,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,1,3,191,132,0.0,10
0,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,36,1,3,57,132,0.0,9
3,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,78,0,2,1033,139,0.0,24
3,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,40,1,3,66,135,0.0,6
1,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,Couples,1,0,0,63,0,2,43,130,0.0,6
2,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,Couples,1,0,0,41,1,3,50,149,0.0,5
4,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,Single_Household,0,1,0,54,1,2,39,134,0.0,7
2,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,Couples,1,0,0,58,1,3,608,141,0.0,18
2,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,Couples,1,0,0,48,0,2,1581,145,0.0,24
