Total_Spending,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase_Num,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Discount_Dependency,Income,Age,Education,Marital_Merged_Couples,Marital_Merged_Single_Household,Kidhome,Teenhome,Total_Household_Size,Total_Children,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Campaign_Response_Rate,Complain,Loyalty_Months,Recency,NumWebVisitsMonth,ID
661,565,6,65,0,6,19,19,9,2,8,0.2631578947368421,60631.0,49,4,1,0,1,1,4,2,0,0,0,1,0,0,0.16666666666666666,0,145,88,7,8132
65,14,10,13,4,15,9,7,2,1,4,0.14285714285714285,28332.0,72,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,132,58,2,1050
13,2,1,6,2,1,1,3,1,0,2,0.3333333333333333,40246.0,47,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,149,68,6,5846
1890,721,111,925,97,18,18,18,7,6,5,0.05555555555555555,75251.0,52,3,1,0,0,0,2,0,0,0,0,0,0,1,0.16666666666666666,0,152,34,5,1859
2209,1032,105,779,137,105,51,22,5,8,9,0.0,75825.0,48,2,0,1,0,0,1,0,0,0,1,0,0,1,0.3333333333333333,0,151,40,4,7503
18,1,0,5,0,3,9,3,0,0,3,0.3333333333333333,26326.0,48,1,1,0,0,0,2,0,0,0,0,0,0,0,0.0,1,140,12,3,10401
692,577,0,64,0,0,51,19,10,1,8,0.10526315789473684,56046.0,59,2,1,0,0,0,2,0,0,0,1,0,0,1,0.3333333333333333,0,148,9,8,1618
165,64,4,68,7,5,17,8,3,1,4,0.5,29760.0,39,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,152,87,8,3332
16,4,1,5,2,0,4,3,1,0,2,0.3333333333333333,26304.0,55,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,142,5,7,2261
79,25,5,19,7,0,23,6,3,0,3,0.5,23559.0,51,1,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,142,87,7,5346
318,112,17,44,34,22,89,10,2,5,3,0.1,38620.0,61,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,144,56,3,4119
778,163,23,424,27,65,76,26,3,10,13,0.038461538461538464,81361.0,37,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,134,18,1,535
56,17,8,14,10,4,3,5,1,0,4,0.4,29440.0,64,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,141,95,7,5268
151,130,0,16,0,0,5,8,3,1,4,0.625,36138.0,54,3,1,0,1,1,4,2,0,0,0,1,0,0,0.16666666666666666,0,142,48,7,273
372,292,6,37,0,3,34,13,6,1,6,0.3076923076923077,50388.0,67,2,0,1,0,1,2,1,1,0,0,1,0,1,0.5,0,131,3,7,4452
1366,350,60,568,110,133,145,18,5,6,7,0.05555555555555555,79593.0,51,2,1,0,0,0,2,0,0,0,0,0,1,0,0.16666666666666666,0,132,70,2,8504
194,135,9,39,4,0,7,9,2,2,5,0.1111111111111111,54178.0,57,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,135,79,2,771
32,15,2,10,0,1,4,4,1,0,3,0.25,42394.0,52,3,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,133,69,7,11178
43,27,2,14,0,0,0,7,3,1,3,0.42857142857142855,23626.0,54,4,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,131,84,5,2230
45,5,3,11,12,5,9,5,2,0,3,0.2,30096.0,41,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,131,30,6,7516
606,505,0,26,0,0,75,17,7,4,6,0.29411764705882354,47916.0,64,2,0,1,0,1,2,1,0,0,0,1,0,0,0.16666666666666666,0,150,72,6,7247
63,51,2,7,0,1,2,5,2,0,3,0.4,51813.0,52,2,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,145,37,7,11100
978,207,26,447,75,0,223,24,5,7,12,0.041666666666666664,78497.0,73,1,1,0,0,0,2,0,1,0,0,0,0,0,0.16666666666666666,0,137,44,2,4646
410,135,46,92,65,61,11,14,5,2,7,0.14285714285714285,50150.0,41,4,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,143,32,5,3037
72,53,1,5,2,1,10,5,2,0,3,0.4,47823.0,64,1,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,141,0,8,1473
55,41,1,6,2,0,5,5,2,0,3,0.4,34554.0,65,4,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,133,43,6,1016
1169,386,172,183,185,132,111,25,9,5,11,0.08,85693.0,45,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,145,59,5,4518
1120,562,81,276,80,40,81,15,6,3,6,0.06666666666666667,65846.0,79,4,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,144,68,4,9370
1097,217,76,690,50,26,38,19,3,11,5,0.05263157894736842,87195.0,65,2,1,0,0,0,2,0,0,0,0,0,0,1,0.16666666666666666,0,132,35,1,8908
29,1,3,6,10,0,9,4,1,0,3,0.25,24594.0,45,0,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,137,94,5,8373
187,144,1,32,2,1,7,9,4,1,4,0.4444444444444444,49096.0,60,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,139,15,7,7533
910,295,106,271,75,98,65,22,6,4,12,0.18181818181818182,52413.0,55,2,1,0,0,2,4,2,0,0,0,0,0,0,0.0,0,147,56,6,2683
145,76,3,31,4,4,27,7,3,1,3,0.2857142857142857,38557.0,46,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,149,17,7,3629
850,454,194,106,31,22,43,13,5,4,4,0.07692307692307693,89058.0,64,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,149,18,2,10991
969,425,115,292,23,35,79,23,6,6,11,0.043478260869565216,77298.0,45,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,138,46,3,5077
1820,1332,17,311,23,51,86,16,7,4,5,0.0625,68126.0,33,4,0,1,0,0,1,0,0,0,0,1,0,1,0.3333333333333333,0,150,40,9,7431
608,527,0,21,0,0,60,17,8,1,8,0.17647058823529413,57288.0,61,3,1,0,0,1,3,1,0,0,0,1,0,0,0.16666666666666666,0,130,27,6,3267
730,490,44,125,29,20,22,24,6,7,11,0.041666666666666664,86037.0,33,2,0,1,0,0,1,0,0,0,0,1,1,1,0.5,0,148,95,3,999
551,378,0,101,0,0,72,16,6,4,6,0.3125,43974.0,44,4,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,149,19,7,9215
114,64,1,21,0,1,27,6,2,1,3,0.3333333333333333,50785.0,62,2,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,140,27,6,2286
1724,547,99,812,151,82,33,15,4,6,5,0.0,90765.0,54,2,1,0,0,0,2,0,1,0,0,0,1,0,0.3333333333333333,0,135,25,1,1592
577,47,90,94,123,103,120,15,9,1,5,0.3333333333333333,36550.0,46,1,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,147,74,9,367
81,12,5,25,0,9,30,5,1,1,3,0.4,30753.0,57,1,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,142,85,5,5234
33,1,6,7,11,5,3,5,2,0,3,0.4,21918.0,55,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,138,37,6,9862
660,320,48,133,39,72,48,18,6,2,10,0.2222222222222222,56129.0,71,3,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,143,65,4,9805
80,34,3,29,0,4,10,6,2,1,3,0.5,32557.0,57,3,0,1,1,0,2,1,0,0,0,0,0,1,0.16666666666666666,0,134,13,5,6205
30,9,0,7,3,4,7,4,1,0,3,0.5,19510.0,39,3,1,0,2,0,4,2,0,0,0,0,0,0,0.0,0,140,63,7,8442
43,17,0,14,7,3,2,4,1,0,3,0.25,30992.0,48,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,145,83,7,7386
1135,722,27,102,44,72,168,27,6,8,13,0.0,101970.0,41,2,0,1,0,0,1,0,1,0,0,1,1,1,0.6666666666666666,0,146,69,2,7215
559,162,33,124,40,28,172,14,3,4,7,0.14285714285714285,71488.0,59,1,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,147,87,1,1491
1923,450,133,951,173,0,216,15,3,6,6,0.06666666666666667,79607.0,40,2,0,1,0,0,1,0,0,0,0,0,0,1,0.16666666666666666,0,145,37,1,11071
90,70,0,16,0,0,4,6,2,0,4,0.3333333333333333,54348.0,71,3,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,131,51,6,3381
661,492,19,110,16,12,12,19,6,3,10,0.21052631578947367,77376.0,68,4,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,132,72,4,11051
463,120,58,73,65,89,58,14,5,4,5,0.35714285714285715,62998.0,72,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,139,10,5,8026
632,534,5,47,0,5,41,18,11,1,6,0.2777777777777778,61331.0,66,3,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,146,42,8,433
725,236,106,189,23,41,130,18,7,2,9,0.05555555555555555,73448.0,55,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,135,10,4,9597
279,220,0,33,3,0,23,11,5,1,5,0.45454545454545453,41551.0,60,4,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,141,51,8,5290
1482,796,14,590,38,44,0,22,4,5,13,0.045454545454545456,62981.0,57,4,1,0,0,0,2,0,0,0,0,1,0,0,0.16666666666666666,0,146,21,3,1685
29,0,1,3,10,6,9,4,1,0,3,0.5,9548.0,48,0,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,153,31,8,5342
106,53,1,34,2,0,16,6,2,2,2,0.5,33762.0,65,4,1,0,2,1,5,3,0,0,0,0,0,0,0.0,0,142,61,8,9579
49,15,0,8,4,2,20,4,1,1,2,0.5,35860.0,51,4,0,1,1,1,3,2,0,0,1,0,0,1,0.3333333333333333,0,131,37,5,7660
38,17,1,12,3,1,4,5,2,0,3,0.4,36921.0,59,4,0,1,1,1,3,2,0,0,0,0,0,0,0.0,0,141,74,7,1461
2077,962,61,921,52,61,20,21,5,4,12,0.047619047619047616,92859.0,32,3,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,151,46,2,821
1053,738,0,232,13,20,50,15,3,5,7,0.13333333333333333,65104.0,48,3,1,0,0,1,3,1,0,0,0,0,0,1,0.16666666666666666,0,138,4,7,11084
1385,399,28,756,36,40,126,22,5,7,10,0.045454545454545456,86111.0,62,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,145,73,2,8690
871,614,16,132,43,33,33,22,8,5,9,0.13636363636363635,68352.0,50,4,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,140,47,6,2937
312,32,34,41,73,16,116,9,4,2,3,0.3333333333333333,41883.0,36,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,146,13,7,9701
877,598,16,141,32,41,49,12,3,3,6,0.25,59809.0,48,2,1,0,0,2,4,2,0,0,0,0,0,0,0.0,0,151,36,8,9949
68,2,1,18,20,11,16,5,2,0,3,0.2,23957.0,49,2,1,0,1,0,3,1,0,0,0,0,0,1,0.16666666666666666,0,150,47,6,10837
22,6,1,10,0,1,4,3,1,0,2,0.3333333333333333,38547.0,43,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,1,140,49,8,3120
211,73,3,90,12,1,32,9,4,1,4,0.7777777777777778,35688.0,51,1,1,0,2,1,5,3,0,0,0,0,0,0,0.0,0,153,94,8,5885
127,42,16,29,12,20,8,7,2,1,4,0.14285714285714285,49605.0,58,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,130,65,3,4050
459,295,21,78,39,13,13,15,4,4,7,0.06666666666666667,59354.0,71,3,1,0,0,2,4,2,0,0,0,0,0,0,0.0,0,132,59,3,3830
460,346,17,48,23,13,13,15,8,1,6,0.26666666666666666,65747.0,55,2,1,0,0,1,3,1,0,0,0,1,0,0,0.16666666666666666,0,134,96,6,7987
429,233,20,57,8,20,91,13,7,1,5,0.3076923076923077,46344.0,52,1,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,149,28,7,7798
89,5,7,24,19,14,20,7,3,0,4,0.5714285714285714,34176.0,36,2,0,1,1,0,2,1,0,0,0,0,0,0,0.0,0,132,12,6,92
1021,888,0,57,0,0,76,24,8,5,11,0.08333333333333333,61010.0,72,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,151,57,5,7055
1381,997,26,269,34,13,42,20,10,4,6,0.05,69372.0,75,2,1,0,0,0,2,0,0,0,0,1,1,1,0.5,0,147,10,4,10240
306,212,6,69,4,12,3,12,6,1,5,0.25,49967.0,66,2,0,1,0,1,2,1,0,0,0,0,0,0,0.0,0,142,4,7,3025
18,8,1,7,2,0,0,3,0,0,3,0.3333333333333333,60199.0,46,2,0,1,1,2,4,3,0,0,0,0,0,0,0.0,0,140,49,4,9283
162,42,11,57,10,28,14,8,1,1,6,0.125,55375.0,47,2,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,139,3,2,9970
1231,536,11,387,149,91,57,17,3,4,10,0.058823529411764705,80317.0,69,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,141,64,1,2730
13,5,0,3,0,0,5,3,1,0,2,0.3333333333333333,30523.0,66,3,0,1,2,1,4,3,0,0,0,0,0,0,0.0,0,142,0,7,2795
1706,1349,16,249,43,16,33,25,10,6,9,0.08,70356.0,79,4,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,150,20,6,9260
121,53,3,49,7,4,5,7,3,0,4,0.5714285714285714,23228.0,40,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,136,91,8,8182
1293,1001,12,240,16,12,12,19,5,4,10,0.05263157894736842,74165.0,49,4,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,144,9,2,10095
1608,20,2,1582,1,2,1,22,0,22,0,0.6818181818181818,157243.0,51,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,134,98,0,8475
88,18,1,32,6,3,28,6,2,0,4,0.5,43482.0,58,2,1,0,2,1,5,3,0,0,0,0,0,0,0.0,0,138,83,6,4370
421,125,16,98,134,21,27,17,6,7,4,0.058823529411764705,62551.0,71,2,0,1,0,0,1,0,0,0,1,0,0,0,0.16666666666666666,0,138,27,3,10573
259,212,5,33,7,0,2,11,3,2,6,0.09090909090909091,52332.0,65,2,0,1,0,0,1,0,0,0,0,1,0,0,0.16666666666666666,0,140,63,4,3712
1117,277,162,305,173,76,124,14,3,4,7,0.07142857142857142,66951.0,36,2,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,138,46,1,6637
89,15,10,19,8,17,20,6,2,1,3,0.5,26091.0,67,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,134,84,5,3152
36,7,3,10,8,1,7,4,1,0,3,0.5,33456.0,59,2,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,132,58,7,5610
57,12,4,6,11,8,16,5,2,0,3,0.4,28718.0,42,2,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,142,78,8,6460
148,85,7,24,2,3,27,7,3,1,3,0.14285714285714285,50447.0,54,2,1,0,2,0,4,2,0,0,0,0,0,0,0.0,0,132,4,6,1349
93,81,0,6,0,0,6,6,2,1,3,0.3333333333333333,53537.0,65,4,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,135,17,5,1880
119,59,0,12,0,0,48,6,2,2,2,0.16666666666666666,52074.0,57,2,0,1,0,1,2,1,0,0,1,0,0,0,0.16666666666666666,0,133,77,4,641
1835,1149,71,449,69,71,26,27,11,8,8,0.037037037037037035,80427.0,49,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,152,56,5,8717
1318,847,66,119,86,89,111,24,9,10,5,0.041666666666666664,83837.0,76,4,1,0,0,0,2,0,1,0,0,1,0,1,0.5,0,149,79,4,10314
45,29,0,14,0,0,2,5,2,0,3,0.4,38853.0,54,4,1,0,1,1,4,2,0,0,0,0,0,0,0.0,0,131,90,7,10854
10,2,0,5,2,0,1,3,0,0,3,0.3333333333333333,38285.0,65,2,1,0,2,1,5,3,0,0,0,0,0,0,0.0,0,130,96,2,10492
978,207,26,447,75,0,223,24,5,7,12,0.041666666666666664,78497.0,73,1,1,0,0,0,2,0,1,0,0,0,0,0,0.16666666666666666,0,137,44,2,6935
191,152,3,22,2,5,7,9,4,1,4,0.1111111111111111,51650.0,48,4,1,0,0,1,3,1,0,0,0,0,0,0,0.0,0,132,81,5,7698
57,12,11,10,3,12,9,6,2,1,3,0.5,16248.0,36,1,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,132,77,6,3559
1033,620,26,195,34,17,141,23,6,4,13,0.043478260869565216,66835.0,78,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,139,21,2,10562
66,47,1,6,0,0,12,5,1,1,3,0.2,30477.0,40,3,1,0,1,0,3,1,0,0,0,0,0,0,0.0,0,135,16,6,10796
